Phi[deg],Theta[deg],im(rEPhi)[mV]
-180,0,6819.34
-178,0,6663.84
-176,0,6500.22
-174,0,6328.68
-172,0,6149.43
-170,0,5962.69
-168,0,5768.68
-166,0,5567.65
-164,0,5359.83
-162,0,5145.48
-160,0,4924.86
-158,0,4698.25
-156,0,4465.9
-154,0,4228.12
-152,0,3985.19
-150,0,3737.4
-148,0,3485.06
-146,0,3228.47
-144,0,2967.94
-142,0,2703.81
-140,0,2436.37
-138,0,2165.97
-136,0,1892.93
-134,0,1617.59
-132,0,1340.27
-130,0,1061.32
-128,0,781.078
-126,0,499.884
-124,0,218.081
-122,0,-63.9884
-120,0,-345.979
-118,0,-627.549
-116,0,-908.354
-114,0,-1188.05
-112,0,-1466.3
-110,0,-1742.77
-108,0,-2017.11
-106,0,-2288.99
-104,0,-2558.09
-102,0,-2824.06
-100,0,-3086.6
-98,0,-3345.38
-96,0,-3600.08
-94,0,-3850.39
-92,0,-4096.02
-90,0,-4336.65
-88,0,-4572
-86,0,-4801.78
-84,0,-5025.71
-82,0,-5243.52
-80,0,-5454.93
-78,0,-5659.71
-76,0,-5857.58
-74,0,-6048.32
-72,0,-6231.69
-70,0,-6407.47
-68,0,-6575.44
-66,0,-6735.41
-64,0,-6887.16
-62,0,-7030.52
-60,0,-7165.32
-58,0,-7291.39
-56,0,-7408.58
-54,0,-7516.73
-52,0,-7615.74
-50,0,-7705.46
-48,0,-7785.79
-46,0,-7856.64
-44,0,-7917.92
-42,0,-7969.55
-40,0,-8011.47
-38,0,-8043.62
-36,0,-8065.98
-34,0,-8078.52
-32,0,-8081.21
-30,0,-8074.05
-28,0,-8057.06
-26,0,-8030.25
-24,0,-7993.65
-22,0,-7947.32
-20,0,-7891.31
-18,0,-7825.68
-16,0,-7750.52
-14,0,-7665.91
-12,0,-7571.96
-10,0,-7468.79
-8,0,-7356.52
-6,0,-7235.29
-4,0,-7105.24
-2,0,-6966.54
0,0,-6819.34
2,0,-6663.84
4,0,-6500.22
6,0,-6328.68
8,0,-6149.43
10,0,-5962.69
12,0,-5768.68
14,0,-5567.65
16,0,-5359.83
18,0,-5145.48
20,0,-4924.86
22,0,-4698.25
24,0,-4465.9
26,0,-4228.12
28,0,-3985.19
30,0,-3737.4
32,0,-3485.06
34,0,-3228.47
36,0,-2967.94
38,0,-2703.81
40,0,-2436.37
42,0,-2165.97
44,0,-1892.93
46,0,-1617.59
48,0,-1340.27
50,0,-1061.32
52,0,-781.078
54,0,-499.884
56,0,-218.081
58,0,63.9884
60,0,345.979
62,0,627.549
64,0,908.354
66,0,1188.05
68,0,1466.3
70,0,1742.77
72,0,2017.11
74,0,2288.99
76,0,2558.09
78,0,2824.06
80,0,3086.6
82,0,3345.38
84,0,3600.08
86,0,3850.39
88,0,4096.02
90,0,4336.65
92,0,4572
94,0,4801.78
96,0,5025.71
98,0,5243.52
100,0,5454.93
102,0,5659.71
104,0,5857.58
106,0,6048.32
108,0,6231.69
110,0,6407.47
112,0,6575.44
114,0,6735.41
116,0,6887.16
118,0,7030.52
120,0,7165.32
122,0,7291.39
124,0,7408.58
126,0,7516.73
128,0,7615.74
130,0,7705.46
132,0,7785.79
134,0,7856.64
136,0,7917.92
138,0,7969.55
140,0,8011.47
142,0,8043.62
144,0,8065.98
146,0,8078.52
148,0,8081.21
150,0,8074.05
152,0,8057.06
154,0,8030.25
156,0,7993.65
158,0,7947.32
160,0,7891.31
162,0,7825.68
164,0,7750.52
166,0,7665.91
168,0,7571.96
170,0,7468.79
172,0,7356.52
174,0,7235.29
176,0,7105.24
178,0,6966.54
