Phi[deg],Theta[deg],re(rEPhi)[mV]
-180,0,1695.52
-178,0,1323.74
-176,0,950.338
-174,0,575.782
-172,0,200.524
-170,0,-174.979
-168,0,-550.268
-166,0,-924.887
-164,0,-1298.38
-162,0,-1670.29
-160,0,-2040.16
-158,0,-2407.55
-156,0,-2772.01
-154,0,-3133.09
-152,0,-3490.35
-150,0,-3843.36
-148,0,-4191.69
-146,0,-4534.91
-144,0,-4872.6
-142,0,-5204.36
-140,0,-5529.78
-138,0,-5848.46
-136,0,-6160.01
-134,0,-6464.06
-132,0,-6760.24
-130,0,-7048.18
-128,0,-7327.53
-126,0,-7597.95
-124,0,-7859.12
-122,0,-8110.71
-120,0,-8352.42
-118,0,-8583.95
-116,0,-8805.03
-114,0,-9015.38
-112,0,-9214.74
-110,0,-9402.88
-108,0,-9579.56
-106,0,-9744.57
-104,0,-9897.71
-102,0,-10038.8
-100,0,-10167.6
-98,0,-10284.1
-96,0,-10388
-94,0,-10479.3
-92,0,-10557.8
-90,0,-10623.5
-88,0,-10676.2
-86,0,-10715.8
-84,0,-10742.5
-82,0,-10756
-80,0,-10756.5
-78,0,-10743.8
-76,0,-10718.1
-74,0,-10679.3
-72,0,-10627.5
-70,0,-10562.7
-68,0,-10485
-66,0,-10394.6
-64,0,-10291.6
-62,0,-10176
-60,0,-10047.9
-58,0,-9907.69
-56,0,-9755.37
-54,0,-9591.16
-52,0,-9415.26
-50,0,-9227.9
-48,0,-9029.29
-46,0,-8819.68
-44,0,-8599.33
-42,0,-8368.5
-40,0,-8127.47
-38,0,-7876.54
-36,0,-7616.02
-34,0,-7346.21
-32,0,-7067.46
-30,0,-6780.09
-28,0,-6484.47
-26,0,-6180.94
-24,0,-5869.89
-22,0,-5551.68
-20,0,-5226.71
-18,0,-4895.37
-16,0,-4558.06
-14,0,-4215.21
-12,0,-3867.21
-10,0,-3514.51
-8,0,-3157.52
-6,0,-2796.69
-4,0,-2432.45
-2,0,-2065.24
0,0,-1695.52
2,0,-1323.74
4,0,-950.338
6,0,-575.782
8,0,-200.524
10,0,174.979
12,0,550.268
14,0,924.887
16,0,1298.38
18,0,1670.29
20,0,2040.16
22,0,2407.55
24,0,2772.01
26,0,3133.09
28,0,3490.35
30,0,3843.36
32,0,4191.69
34,0,4534.91
36,0,4872.6
38,0,5204.36
40,0,5529.78
42,0,5848.46
44,0,6160.01
46,0,6464.06
48,0,6760.24
50,0,7048.18
52,0,7327.53
