Phi[deg],Theta[deg],RealizedGainPhi
-180,0,0.0181566
-178,0,0.0179191
-176,0,0.0180437
-174,0,0.0185296
-172,0,0.0193746
-170,0,0.0205745
-168,0,0.0221234
-166,0,0.0240139
-164,0,0.0262367
-162,0,0.028781
-160,0,0.0316343
-158,0,0.0347829
-156,0,0.0382112
-154,0,0.0419028
-152,0,0.0458395
-150,0,0.0500021
-148,0,0.0543705
-146,0,0.0589233
-144,0,0.0636383
-142,0,0.0684926
-140,0,0.0734625
-138,0,0.0785238
-136,0,0.0836518
-134,0,0.0888216
-132,0,0.094008
-130,0,0.0991857
-128,0,0.104329
-126,0,0.109414
-124,0,0.114415
-122,0,0.119308
-120,0,0.124069
-118,0,0.128675
-116,0,0.133103
-114,0,0.137332
-112,0,0.141342
-110,0,0.145112
-108,0,0.148624
-106,0,0.151861
-104,0,0.154808
-102,0,0.157451
-100,0,0.159775
-98,0,0.16177
-96,0,0.163427
-94,0,0.164736
-92,0,0.165692
-90,0,0.166291
-88,0,0.166528
-86,0,0.166404
-84,0,0.165918
-82,0,0.165073
-80,0,0.163873
-78,0,0.162324
-76,0,0.160433
-74,0,0.15821
-72,0,0.155666
-70,0,0.152813
-68,0,0.149664
-66,0,0.146236
-64,0,0.142544
-62,0,0.138608
-60,0,0.134445
-58,0,0.130077
-56,0,0.125524
-54,0,0.120809
-52,0,0.115955
-50,0,0.110985
-48,0,0.105923
-46,0,0.100795
-44,0,0.0956256
-42,0,0.0904392
-40,0,0.0852615
-38,0,0.0801177
-36,0,0.0750329
-34,0,0.0700319
-32,0,0.065139
-30,0,0.060378
-28,0,0.0557722
-26,0,0.051344
-24,0,0.0471149
-22,0,0.0431056
-20,0,0.0393356
-18,0,0.0358232
-16,0,0.0325857
-14,0,0.0296387
-12,0,0.0269966
-10,0,0.0246722
-8,0,0.022677
-6,0,0.0210206
-4,0,0.0197111
-2,0,0.0187549
0,0,0.0181566
2,0,0.0179191
4,0,0.0180437
6,0,0.0185296
8,0,0.0193746
10,0,0.0205745
12,0,0.0221234
14,0,0.0240139
16,0,0.0262367
18,0,0.028781
20,0,0.0316343
22,0,0.0347829
24,0,0.0382112
26,0,0.0419028
28,0,0.0458395
30,0,0.0500021
32,0,0.0543705
34,0,0.0589233
36,0,0.0636383
38,0,0.0684926
40,0,0.0734625
42,0,0.0785238
44,0,0.0836518
46,0,0.0888216
48,0,0.094008
50,0,0.0991857
52,0,0.104329
54,0,0.109414
56,0,0.114415
58,0,0.119308
60,0,0.124069
62,0,0.128675
64,0,0.133103
66,0,0.137332
68,0,0.141342
70,0,0.145112
72,0,0.148624
74,0,0.151861
76,0,0.154808
78,0,0.157451
80,0,0.159775
82,0,0.16177
84,0,0.163427
86,0,0.164736
88,0,0.165692
90,0,0.166291
92,0,0.166528
94,0,0.166404
96,0,0.165918
98,0,0.165073
100,0,0.163873
102,0,0.162324
104,0,0.160433
106,0,0.15821
108,0,0.155666
110,0,0.152813
112,0,0.149664
114,0,0.146236
116,0,0.142544
118,0,0.138608
120,0,0.134445
122,0,0.130077
124,0,0.125524
126,0,0.120809
128,0,0.115955
130,0,0.110985
132,0,0.105923
134,0,0.100795
136,0,0.0956256
138,0,0.0904392
140,0,0.0852615
142,0,0.0801177
144,0,0.0750329
146,0,0.0700319
148,0,0.065139
150,0,0.060378
152,0,0.0557722
154,0,0.051344
156,0,0.0471149
158,0,0.0431056
160,0,0.0393356
162,0,0.0358232
164,0,0.0325857
166,0,0.0296387
168,0,0.0269966
170,0,0.0246722
172,0,0.022677
174,0,0.0210206
176,0,0.0197111
178,0,0.0187549
180,0,0.0181566
-180,2,0.0227966
-178,2,0.0223218
-176,2,0.0221556
-174,2,0.0222984
-172,2,0.0227494
-170,2,0.0235064
-168,2,0.0245658
-166,2,0.0259229
-164,2,0.0275715
-162,2,0.0295043
-160,2,0.0317124
-158,2,0.0341861
-156,2,0.0369142
-154,2,0.0398845
-152,2,0.0430835
-150,2,0.0464969
-148,2,0.050109
-146,2,0.0539035
-144,2,0.0578631
-142,2,0.0619696
-140,2,0.0662039
-138,2,0.0705466
-136,2,0.0749774
-134,2,0.0794755
-132,2,0.0840197
-130,2,0.0885885
-128,2,0.0931601
-126,2,0.0977125
-124,2,0.102224
-122,2,0.106672
-120,2,0.111035
-118,2,0.115291
-116,2,0.119419
-114,2,0.123399
-112,2,0.127209
-110,2,0.130831
-108,2,0.134245
-106,2,0.137434
-104,2,0.140379
-102,2,0.143066
-100,2,0.145479
-98,2,0.147605
-96,2,0.149431
-94,2,0.150946
-92,2,0.15214
-90,2,0.153006
-88,2,0.153536
-86,2,0.153727
-84,2,0.153574
-82,2,0.153077
-80,2,0.152236
