Phi[deg],Theta[deg],RealizedGainTheta
-180,0,1.51925
-178,0,1.61287
-176,0,1.71064
-174,0,1.81207
-172,0,1.91666
-170,0,2.02392
-168,0,2.13332
-166,0,2.24432
-164,0,2.35638
-162,0,2.46896
-160,0,2.58151
-158,0,2.69349
-156,0,2.80433
-154,0,2.91352
-152,0,3.02051
-150,0,3.12478
-148,0,3.22582
-146,0,3.32315
-144,0,3.41628
-142,0,3.50477
-140,0,3.58818
-138,0,3.66611
-136,0,3.73817
-134,0,3.80402
-132,0,3.86334
-130,0,3.91583
-128,0,3.96125
-126,0,3.99936
-124,0,4.02998
-122,0,4.05298
-120,0,4.06822
-118,0,4.07564
-116,0,4.0752
-114,0,4.06691
-112,0,4.0508
-110,0,4.02695
-108,0,3.99548
-106,0,3.95655
-104,0,3.91034
-102,0,3.85707
-100,0,3.79701
-98,0,3.73045
-96,0,3.65772
-94,0,3.57916
-92,0,3.49516
-90,0,3.40614
-88,0,3.31251
-86,0,3.21475
-84,0,3.11332
-82,0,3.00872
-80,0,2.90147
-78,0,2.79207
-76,0,2.68107
-74,0,2.56901
-72,0,2.45642
-70,0,2.34387
-68,0,2.2319
-66,0,2.12105
-64,0,2.01187
-62,0,1.90488
-60,0,1.80061
-58,0,1.69957
-56,0,1.60224
-54,0,1.50911
-52,0,1.42062
-50,0,1.33721
-48,0,1.25928
-46,0,1.18721
-44,0,1.12136
-42,0,1.06205
-40,0,1.00955
-38,0,0.964141
-36,0,0.926028
-34,0,0.895403
-32,0,0.872412
-30,0,0.85717
-28,0,0.849749
-26,0,0.850187
-24,0,0.858481
-22,0,0.87459
-20,0,0.898436
-18,0,0.929903
-16,0,0.968838
-14,0,1.01505
-12,0,1.06832
-10,0,1.12837
-8,0,1.19493
-6,0,1.26767
-4,0,1.34623
-2,0,1.43022
0,0,1.51925
2,0,1.61287
4,0,1.71064
6,0,1.81207
8,0,1.91666
10,0,2.02392
12,0,2.13332
14,0,2.24432
16,0,2.35638
18,0,2.46896
20,0,2.58151
22,0,2.69349
24,0,2.80433
26,0,2.91352
28,0,3.02051
30,0,3.12478
32,0,3.22582
34,0,3.32315
36,0,3.41628
38,0,3.50477
40,0,3.58818
42,0,3.66611
44,0,3.73817
46,0,3.80402
48,0,3.86334
50,0,3.91583
52,0,3.96125
54,0,3.99936
56,0,4.02998
58,0,4.05298
60,0,4.06822
62,0,4.07564
64,0,4.0752
66,0,4.06691
68,0,4.0508
70,0,4.02695
72,0,3.99548
74,0,3.95655
76,0,3.91034
78,0,3.85707
80,0,3.79701
82,0,3.73045
84,0,3.65772
86,0,3.57916
88,0,3.49516
90,0,3.40614
92,0,3.31251
94,0,3.21475
96,0,3.11332
98,0,3.00872
100,0,2.90147
102,0,2.79207
104,0,2.68107
106,0,2.56901
108,0,2.45642
110,0,2.34387
112,0,2.2319
114,0,2.12105
116,0,2.01187
118,0,1.90488
120,0,1.80061
122,0,1.69957
124,0,1.60224
126,0,1.50911
128,0,1.42062
130,0,1.33721
132,0,1.25928
134,0,1.18721
136,0,1.12136
138,0,1.06205
140,0,1.00955
142,0,0.964141
144,0,0.926028
146,0,0.895403
