Phi[deg],Theta[deg],RealizedGainPhi
-180,0,2.83804
-178,0,2.95765
-176,0,3.07629
-174,0,3.19339
-172,0,3.30838
-170,0,3.42069
-168,0,3.52979
-166,0,3.63513
-164,0,3.73621
-162,0,3.83254
-160,0,3.92363
-158,0,4.00906
-156,0,4.0884
-154,0,4.16126
-152,0,4.2273
-150,0,4.28619
-148,0,4.33764
-146,0,4.38141
-144,0,4.41727
-142,0,4.44506
-140,0,4.46464
-138,0,4.47591
-136,0,4.47882
-134,0,4.47336
-132,0,4.45955
-130,0,4.43745
-128,0,4.40719
-126,0,4.36889
-124,0,4.32276
-122,0,4.26901
-120,0,4.20791
-118,0,4.13976
-116,0,4.06488
-114,0,3.98364
-112,0,3.89644
-110,0,3.80371
-108,0,3.70588
-106,0,3.60345
-104,0,3.49691
-102,0,3.38677
-100,0,3.27358
-98,0,3.15789
-96,0,3.04026
-94,0,2.92126
-92,0,2.80148
-90,0,2.68149
-88,0,2.56188
-86,0,2.44324
-84,0,2.32614
-82,0,2.21115
-80,0,2.09883
-78,0,1.98974
-76,0,1.88439
-74,0,1.78331
-72,0,1.68699
-70,0,1.5959
-68,0,1.51047
-66,0,1.43113
-64,0,1.35826
-62,0,1.29223
-60,0,1.23334
-58,0,1.18189
-56,0,1.13812
-54,0,1.10226
-52,0,1.07447
-50,0,1.05489
-48,0,1.04362
-46,0,1.04071
-44,0,1.04617
-42,0,1.05998
-40,0,1.08208
-38,0,1.11234
-36,0,1.15063
-34,0,1.19677
-32,0,1.25051
-30,0,1.31161
-28,0,1.37977
-26,0,1.45465
-24,0,1.53588
-22,0,1.62308
-20,0,1.71582
-18,0,1.81364
-16,0,1.91608
-14,0,2.02262
-12,0,2.13275
-10,0,2.24594
-8,0,2.36164
-6,0,2.47927
-4,0,2.59827
-2,0,2.71805
0,0,2.83804
2,0,2.95765
4,0,3.07629
6,0,3.19339
8,0,3.30838
10,0,3.42069
12,0,3.52979
14,0,3.63513
16,0,3.73621
18,0,3.83254
20,0,3.92363
22,0,4.00906
24,0,4.0884
26,0,4.16126
28,0,4.2273
30,0,4.28619
32,0,4.33764
34,0,4.38141
36,0,4.41727
38,0,4.44506
40,0,4.46464
42,0,4.47591
44,0,4.47882
46,0,4.47336
48,0,4.45955
50,0,4.43745
52,0,4.40719
54,0,4.36889
56,0,4.32276
58,0,4.26901
60,0,4.20791
62,0,4.13976
64,0,4.06488
66,0,3.98364
68,0,3.89644
70,0,3.80371
72,0,3.70588
74,0,3.60345
76,0,3.49691
78,0,3.38677
80,0,3.27358
82,0,3.15789
84,0,3.04026
86,0,2.92126
88,0,2.80148
90,0,2.68149
92,0,2.56188
94,0,2.44324
96,0,2.32614
98,0,2.21115
100,0,2.09883
102,0,1.98974
104,0,1.88439
106,0,1.78331
108,0,1.68699
110,0,1.5959
112,0,1.51047
114,0,1.43113
116,0,1.35826
118,0,1.29223
120,0,1.23334
122,0,1.18189
124,0,1.13812
126,0,1.10226
128,0,1.07447
130,0,1.05489
132,0,1.04362
134,0,1.04071
136,0,1.04617
138,0,1.05998
140,0,1.08208
142,0,1.11234
144,0,1.15063
146,0,1.19677
148,0,1.25051
150,0,1.31161
152,0,1.37977
154,0,1.45465
156,0,1.53588
158,0,1.62308
160,0,1.71582
162,0,1.81364
164,0,1.91608
166,0,2.02262
168,0,2.13275
170,0,2.24594
172,0,2.36164
174,0,2.47927
176,0,2.59827
178,0,2.71805
180,0,2.83804
-180,2,2.82674
-178,2,2.94674
-176,2,3.06518
-174,2,3.18145
-172,2,3.29494
-170,2,3.40509
-168,2,3.51133
-166,2,3.61314
-164,2,3.71
-162,2,3.80144
-160,2,3.88702
-158,2,3.96631
-156,2,4.03894
-154,2,4.10458
-152,2,4.16291
-150,2,4.21367
-148,2,4.25664
-146,2,4.29164
-144,2,4.31853
-142,2,4.3372
-140,2,4.34761
-138,2,4.34973
-136,2,4.34358
-134,2,4.32925
-132,2,4.30683
-130,2,4.27647
-128,2,4.23835
-126,2,4.19269
-124,2,4.13975
-122,2,4.07982
-120,2,4.01321
-118,2,3.94028
-116,2,3.8614
-114,2,3.77698
-112,2,3.68745
-110,2,3.59324
-108,2,3.49484
-106,2,3.39272
-104,2,3.28738
-102,2,3.17934
-100,2,3.06911
-98,2,2.95723
-96,2,2.84421
-94,2,2.7306
-92,2,2.61693
-90,2,2.50373
-88,2,2.39153
-86,2,2.28084
-84,2,2.17217
-82,2,2.06604
-80,2,1.96291
-78,2,1.86325
-76,2,1.76753
-74,2,1.67617
-72,2,1.58958
-70,2,1.50816
-68,2,1.43227
-66,2,1.36225
-64,2,1.29841
-62,2,1.24104
-60,2,1.19039
-58,2,1.1467
-56,2,1.11015
-54,2,1.08091
-52,2,1.05913
-50,2,1.04488
-48,2,1.03825
-46,2,1.03927
-44,2,1.04793
-42,2,1.06422
-40,2,1.08805
-38,2,1.11934
-36,2,1.15795
-34,2,1.20373
-32,2,1.25648
-30,2,1.31597
-28,2,1.38196
-26,2,1.45417
-24,2,1.53228
-22,2,1.61596
-20,2,1.70485
-18,2,1.79856
-16,2,1.8967
-14,2,1.99883
-12,2,2.10451
-10,2,2.21327
-8,2,2.32464
-6,2,2.43813
-4,2,2.55322
-2,2,2.66941
0,2,2.78618
2,2,2.903
4,2,3.01935
6,2,3.13468
8,2,3.24848
10,2,3.36022
12,2,3.46938
14,2,3.57545
16,2,3.67793
18,2,3.77633
20,2,3.87019
22,2,3.95904
24,2,4.04245
26,2,4.12001
28,2,4.19134
30,2,4.25607
32,2,4.31386
34,2,4.36441
36,2,4.40745
38,2,4.44275
40,2,4.47009
42,2,4.48931
44,2,4.50028
46,2,4.50291
48,2,4.49715
50,2,4.48299
52,2,4.46045
54,2,4.42962
56,2,4.39059
58,2,4.34354
60,2,4.28864
62,2,4.22614
64,2,4.15631
66,2,4.07947
68,2,3.99597
70,2,3.9062
72,2,3.81057
74,2,3.70955
76,2,3.60362
