Phi[deg],Theta[deg],RealizedGainTheta
-180,0,0.16183
-178,0,0.156597
-176,0,0.151097
-174,0,0.145355
-172,0,0.1394
-170,0,0.133261
-168,0,0.126967
-166,0,0.12055
-164,0,0.114041
-162,0,0.107471
-160,0,0.100872
-158,0,0.0942775
-156,0,0.0877182
-154,0,0.0812266
-152,0,0.0748342
-150,0,0.0685723
-148,0,0.0624713
-146,0,0.0565609
-144,0,0.0508699
-142,0,0.0454261
-140,0,0.040256
-138,0,0.0353848
-136,0,0.0308361
-134,0,0.0266323
-132,0,0.0227936
-130,0,0.0193389
-128,0,0.016285
-126,0,0.0136468
-124,0,0.011437
-122,0,0.00966657
-120,0,0.008344
-118,0,0.00747577
-116,0,0.00706612
-114,0,0.00711703
-112,0,0.00762827
-110,0,0.00859733
-108,0,0.0100195
-106,0,0.0118879
-104,0,0.0141933
-102,0,0.0169246
-100,0,0.0200684
-98,0,0.0236094
-96,0,0.0275304
-94,0,0.0318123
-92,0,0.0364342
-90,0,0.0413736
-88,0,0.0466064
-86,0,0.0521071
-84,0,0.057849
-82,0,0.063804
-80,0,0.0699432
-78,0,0.0762366
-76,0,0.0826536
-74,0,0.0891629
-72,0,0.0957328
-70,0,0.102331
-68,0,0.108926
-66,0,0.115486
-64,0,0.121977
-62,0,0.128369
-60,0,0.134631
-58,0,0.140732
-56,0,0.146643
-54,0,0.152334
-52,0,0.157778
-50,0,0.162948
-48,0,0.167819
-46,0,0.172368
-44,0,0.176571
-42,0,0.18041
-40,0,0.183865
-38,0,0.186919
-36,0,0.189557
-34,0,0.191767
-32,0,0.193537
-30,0,0.19486
-28,0,0.195728
-26,0,0.196138
-24,0,0.196087
-22,0,0.195575
-20,0,0.194606
-18,0,0.193184
-16,0,0.191316
-14,0,0.18901
-12,0,0.186279
-10,0,0.183135
-8,0,0.179594
-6,0,0.175673
-4,0,0.171391
-2,0,0.16677
0,0,0.16183
2,0,0.156597
4,0,0.151097
6,0,0.145355
8,0,0.1394
10,0,0.133261
12,0,0.126967
14,0,0.12055
16,0,0.114041
18,0,0.107471
20,0,0.100872
22,0,0.0942775
24,0,0.0877182
26,0,0.0812266
28,0,0.0748342
30,0,0.0685723
32,0,0.0624713
34,0,0.0565609
36,0,0.0508699
38,0,0.0454261
40,0,0.040256
42,0,0.0353848
44,0,0.0308361
46,0,0.0266323
48,0,0.0227936
50,0,0.0193389
52,0,0.016285
54,0,0.0136468
56,0,0.011437
58,0,0.00966657
60,0,0.008344
62,0,0.00747577
64,0,0.00706612
66,0,0.00711703
68,0,0.00762827
70,0,0.00859733
72,0,0.0100195
74,0,0.0118879
76,0,0.0141933
78,0,0.0169246
80,0,0.0200684
82,0,0.0236094
84,0,0.0275304
86,0,0.0318123
88,0,0.0364342
90,0,0.0413736
92,0,0.0466064
94,0,0.0521071
96,0,0.057849
98,0,0.063804
100,0,0.0699432
102,0,0.0762366
104,0,0.0826536
106,0,0.0891629
108,0,0.0957328
110,0,0.102331
112,0,0.108926
114,0,0.115486
116,0,0.121977
118,0,0.128369
120,0,0.134631
122,0,0.140732
124,0,0.146643
126,0,0.152334
128,0,0.157778
130,0,0.162948
132,0,0.167819
134,0,0.172368
136,0,0.176571
138,0,0.18041
140,0,0.183865
142,0,0.186919
144,0,0.189557
146,0,0.191767
148,0,0.193537
150,0,0.19486
152,0,0.195728
154,0,0.196138
156,0,0.196087
158,0,0.195575
160,0,0.194606
162,0,0.193184
164,0,0.191316
166,0,0.18901
168,0,0.186279
170,0,0.183135
172,0,0.179594
174,0,0.175673
176,0,0.171391
178,0,0.16677
180,0,0.16183
-180,2,0.15892
-178,2,0.154188
-176,2,0.149164
-174,2,0.143872
-172,2,0.138336
-170,2,0.132582
-168,2,0.126638
-166,2,0.120533
-164,2,0.114297
-162,2,0.10796
-160,2,0.101555
-158,2,0.0951134
-156,2,0.0886696
-154,2,0.0822567
-152,2,0.0759085
-150,2,0.0696587
-148,2,0.0635409
-146,2,0.0575883
-144,2,0.0518336
-142,2,0.0463087
-140,2,0.0410445
-138,2,0.0360708
-136,2,0.0314159
-134,2,0.0271068
-132,2,0.0231686
-130,2,0.0196246
-128,2,0.016496
-126,2,0.0138019
-124,2,0.011559
-122,2,0.00978156
-120,2,0.00848135
-118,2,0.00766748
-116,2,0.00734638
-114,2,0.00752172
-112,2,0.0081944
-110,2,0.00936252
-108,2,0.0110214
-106,2,0.0131636
-104,2,0.015779
-102,2,0.0188548
-100,2,0.0223756
-98,2,0.0263236
-96,2,0.0306784
-94,2,0.0354178
-92,2,0.0405171
-90,2,0.0459499
-88,2,0.0516879
-86,2,0.0577012
-84,2,0.0639586
-82,2,0.0704275
-80,2,0.0770745
-78,2,0.083865
-76,2,0.0907641
-74,2,0.0977363
-72,2,0.104746
-70,2,0.111757
-68,2,0.118734
-66,2,0.125642
-64,2,0.132447
-62,2,0.139113
-60,2,0.145608
-58,2,0.151899
-56,2,0.157957
-54,2,0.163751
-52,2,0.169253
-50,2,0.174436
-48,2,0.179277
-46,2,0.183751
-44,2,0.187838
-42,2,0.191519
-40,2,0.194776
-38,2,0.197596
-36,2,0.199964
-34,2,0.201872
-32,2,0.20331
-30,2,0.204273
-28,2,0.204757
-26,2,0.204761
-24,2,0.204286
-22,2,0.203335
-20,2,0.201913
-18,2,0.200029
-16,2,0.197692
-14,2,0.194915
-12,2,0.191711
-10,2,0.188096
-8,2,0.184088
-6,2,0.179708
-4,2,0.174976
-2,2,0.169915
0,2,0.16455
2,2,0.158907
4,2,0.153013
6,2,0.146896
8,2,0.140586
10,2,0.134113
12,2,0.127508
14,2,0.120801
16,2,0.114026
18,2,0.107213
20,2,0.100396
22,2,0.0936062
24,2,0.0868756
26,2,0.0802359
28,2,0.0737181
30,2,0.0673526
32,2,0.0611689
34,2,0.0551957
36,2,0.0494603
38,2,0.0439892
40,2,0.038807
42,2,0.0339373
44,2,0.0294018
46,2,0.0252206
48,2,0.0214121
50,2,0.0179925
52,2,0.0149765
54,2,0.0123763
56,2,0.0102026
58,2,0.00846339
60,2,0.00716497
62,2,0.00631131
64,2,0.00590424
66,2,0.00594346
68,2,0.00642653
70,2,0.00734891
72,2,0.00870401
74,2,0.0104832
76,2,0.012676
78,2,0.0152699
80,2,0.0182507
82,2,0.0216025
84,2,0.0253076
86,2,0.029347
88,2,0.0337002
90,2,0.0383454
92,2,0.0432596
94,2,0.0484188
96,2,0.0537978
98,2,0.0593709
100,2,0.0651115
102,2,0.0709925
104,2,0.0769862
106,2,0.0830648
108,2,0.0892001
110,2,0.0953639
112,2,0.101528
114,2,0.107664
116,2,0.113744
118,2,0.119741
120,2,0.125628
122,2,0.131378
124,2,0.136966
126,2,0.142366
128,2,0.147554
130,2,0.152506
132,2,0.157201
134,2,0.161617
136,2,0.165735
138,2,0.169534
140,2,0.172998
142,2,0.176111
144,2,0.178858
146,2,0.181226
148,2,0.183202
150,2,0.184778
152,2,0.185944
154,2,0.186694
156,2,0.187024
158,2,0.186929
160,2,0.186409
162,2,0.185465
164,2,0.184099
166,2,0.182316
168,2,0.180121
170,2,0.177524
172,2,0.174534
174,2,0.171163
176,2,0.167426
178,2,0.16334
180,2,0.15892
-180,4,0.156479
-178,4,0.152332
-176,4,0.147863
-174,4,0.14309
-172,4,0.138032
-170,4,0.132709
-168,4,0.127145
-166,4,0.121366
-164,4,0.1154
-162,4,0.109275
-160,4,0.103023
-158,4,0.0966787
-156,4,0.0902756
-154,4,0.0838502
-152,4,0.0774399
-150,4,0.0710829
-148,4,0.0648183
-146,4,0.0586853
-144,4,0.0527233
-142,4,0.0469714
-140,4,0.0414681
-138,4,0.0362512
-136,4,0.0313569
-134,4,0.0268202
-132,4,0.022674
-130,4,0.0189492
-128,4,0.0156741
-126,4,0.0128742
-124,4,0.0105721
-122,4,0.00878716
-120,4,0.00753522
-118,4,0.00682861
-116,4,0.00667594
-114,4,0.00708199
-112,4,0.00804771
-110,4,0.00957017
-108,4,0.0116426
-106,4,0.0142544
-104,4,0.0173914
-102,4,0.0210358
-100,4,0.0251665
-98,4,0.0297591
-96,4,0.0347864
-94,4,0.0402185
-92,4,0.046023
-90,4,0.0521654
-88,4,0.0586094
-86,4,0.0653171
-84,4,0.0722496
-82,4,0.0793668
-80,4,0.0866283
-78,4,0.0939934
-76,4,0.101421
-74,4,0.108871
-72,4,0.116303
-70,4,0.123678
-68,4,0.130958
-66,4,0.138106
-64,4,0.145086
-62,4,0.151865
-60,4,0.158409
-58,4,0.164689
-56,4,0.170676
-54,4,0.176342
-52,4,0.181664
-50,4,0.186618
-48,4,0.191185
-46,4,0.195345
-44,4,0.199083
-42,4,0.202384
-40,4,0.205236
-38,4,0.207628
-36,4,0.209554
-34,4,0.211007
-32,4,0.211982
-30,4,0.212479
-28,4,0.212496
-26,4,0.212036
-24,4,0.211103
-22,4,0.209701
-20,4,0.207839
-18,4,0.205526
-16,4,0.202773
-14,4,0.199592
-12,4,0.195999
-10,4,0.192009
-8,4,0.18764
-6,4,0.182912
-4,4,0.177846
-2,4,0.172463
0,4,0.166789
2,4,0.160849
4,4,0.154668
6,4,0.148275
8,4,0.141698
10,4,0.134967
12,4,0.128112
14,4,0.121165
16,4,0.114158
18,4,0.107122
20,4,0.10009
22,4,0.0930941
24,4,0.0861674
26,4,0.0793417
28,4,0.0726488
30,4,0.0661199
32,4,0.0597852
34,4,0.0536743
36,4,0.0478154
38,4,0.0422355
40,4,0.0369602
42,4,0.0320133
44,4,0.0274171
46,4,0.0231919
48,4,0.0193559
50,4,0.0159253
52,4,0.012914
54,4,0.0103337
56,4,0.00819364
58,4,0.00650067
60,4,0.00525926
62,4,0.0044714
64,4,0.00413668
66,4,0.00425224
68,4,0.00481292
70,4,0.00581121
72,4,0.00723742
74,4,0.00907973
76,4,0.0113243
78,4,0.0139555
80,4,0.0169558
82,4,0.0203063
84,4,0.0239863
86,4,0.0279741
88,4,0.032247
90,4,0.0367809
92,4,0.0415513
94,4,0.0465331
96,4,0.0517004
98,4,0.0570274
100,4,0.062488
102,4,0.068056
104,4,0.0737055
106,4,0.0794108
108,4,0.0851464
110,4,0.0908877
112,4,0.0966101
114,4,0.10229
116,4,0.107905
118,4,0.113431
120,4,0.118849
122,4,0.124136
124,4,0.129273
126,4,0.134241
128,4,0.139021
130,4,0.143596
132,4,0.14795
134,4,0.152066
136,4,0.155929
138,4,0.159524
140,4,0.162839
142,4,0.165859
144,4,0.168573
146,4,0.17097
148,4,0.173038
150,4,0.174768
152,4,0.176151
154,4,0.177179
156,4,0.177844
158,4,0.178139
160,4,0.178061
162,4,0.177605
164,4,0.176767
166,4,0.175546
168,4,0.173943
170,4,0.171958
172,4,0.169595
174,4,0.166858
176,4,0.163754
178,4,0.160291
180,4,0.156479
-180,6,0.15548
-178,6,0.152013
-176,6,0.148189
-174,6,0.144017
-172,6,0.139508
-170,6,0.134674
-168,6,0.129533
-166,6,0.124106
-164,6,0.118414
-162,6,0.112487
-160,6,0.106353
-158,6,0.100047
-156,6,0.0936042
-154,6,0.0870649
-152,6,0.0804709
-150,6,0.0738667
-148,6,0.0672987
-146,6,0.0608146
-144,6,0.0544636
-142,6,0.0482954
-140,6,0.0423597
-138,6,0.036706
-136,6,0.0313826
-134,6,0.0264365
-132,6,0.0219126
-130,6,0.0178529
-128,6,0.0142967
-126,6,0.0112792
-124,6,0.00883196
-122,6,0.0069817
-120,6,0.00575042
-118,6,0.00515493
-116,6,0.00520667
-114,6,0.00591153
-112,6,0.00726976
-110,6,0.00927595
-108,6,0.0119192
-106,6,0.0151829
-104,6,0.0190457
-102,6,0.0234807
-100,6,0.0284569
-98,6,0.0339388
-96,6,0.0398872
-94,6,0.0462596
-92,6,0.0530107
-90,6,0.0600931
-88,6,0.0674576
-86,6,0.0750539
-84,6,0.082831
-82,6,0.0907382
-80,6,0.0987247
-78,6,0.106741
-76,6,0.114739
