Phi[deg],Theta[deg],dB(RealizedGainTotal)
-180,0,6.95097
-178,0,6.95097
-176,0,6.95097
-174,0,6.95097
-172,0,6.95097
-170,0,6.95097
-168,0,6.95097
-166,0,6.95097
-164,0,6.95097
-162,0,6.95097
-160,0,6.95097
-158,0,6.95097
-156,0,6.95097
-154,0,6.95097
-152,0,6.95097
-150,0,6.95097
-148,0,6.95097
-146,0,6.95097
-144,0,6.95097
-142,0,6.95097
-140,0,6.95097
-138,0,6.95097
-136,0,6.95097
-134,0,6.95097
-132,0,6.95097
-130,0,6.95097
-128,0,6.95097
-126,0,6.95097
-124,0,6.95097
-122,0,6.95097
-120,0,6.95097
-118,0,6.95097
-116,0,6.95097
-114,0,6.95097
-112,0,6.95097
-110,0,6.95097
-108,0,6.95097
-106,0,6.95097
-104,0,6.95097
-102,0,6.95097
-100,0,6.95097
-98,0,6.95097
-96,0,6.95097
-94,0,6.95097
-92,0,6.95097
-90,0,6.95097
-88,0,6.95097
-86,0,6.95097
-84,0,6.95097
-82,0,6.95097
-80,0,6.95097
-78,0,6.95097
-76,0,6.95097
-74,0,6.95097
-72,0,6.95097
-70,0,6.95097
-68,0,6.95097
-66,0,6.95097
-64,0,6.95097
-62,0,6.95097
-60,0,6.95097
-58,0,6.95097
-56,0,6.95097
-54,0,6.95097
-52,0,6.95097
-50,0,6.95097
-48,0,6.95097
-46,0,6.95097
-44,0,6.95097
-42,0,6.95097
-40,0,6.95097
-38,0,6.95097
-36,0,6.95097
-34,0,6.95097
-32,0,6.95097
-30,0,6.95097
-28,0,6.95097
-26,0,6.95097
-24,0,6.95097
-22,0,6.95097
-20,0,6.95097
-18,0,6.95097
-16,0,6.95097
-14,0,6.95097
-12,0,6.95097
-10,0,6.95097
-8,0,6.95097
-6,0,6.95097
-4,0,6.95097
-2,0,6.95097
0,0,6.95097
2,0,6.95097
4,0,6.95097
6,0,6.95097
8,0,6.95097
10,0,6.95097
12,0,6.95097
14,0,6.95097
16,0,6.95097
18,0,6.95097
20,0,6.95097
22,0,6.95097
24,0,6.95097
26,0,6.95097
28,0,6.95097
30,0,6.95097
32,0,6.95097
34,0,6.95097
36,0,6.95097
38,0,6.95097
40,0,6.95097
42,0,6.95097
44,0,6.95097
46,0,6.95097
48,0,6.95097
50,0,6.95097
52,0,6.95097
54,0,6.95097
56,0,6.95097
58,0,6.95097
60,0,6.95097
62,0,6.95097
64,0,6.95097
66,0,6.95097
68,0,6.95097
70,0,6.95097
72,0,6.95097
74,0,6.95097
76,0,6.95097
78,0,6.95097
80,0,6.95097
82,0,6.95097
84,0,6.95097
86,0,6.95097
88,0,6.95097
90,0,6.95097
92,0,6.95097
94,0,6.95097
96,0,6.95097
98,0,6.95097
100,0,6.95097
102,0,6.95097
104,0,6.95097
106,0,6.95097
108,0,6.95097
110,0,6.95097
112,0,6.95097
114,0,6.95097
116,0,6.95097
118,0,6.95097
120,0,6.95097
122,0,6.95097
124,0,6.95097
126,0,6.95097
128,0,6.95097
130,0,6.95097
132,0,6.95097
134,0,6.95097
