Phi[deg],Theta[deg],GainRHCP
-180,0,3.50688
-178,0,3.50688
-176,0,3.50688
-174,0,3.50688
-172,0,3.50688
-170,0,3.50688
-168,0,3.50688
-166,0,3.50688
-164,0,3.50688
-162,0,3.50688
-160,0,3.50688
-158,0,3.50688
-156,0,3.50688
-154,0,3.50688
-152,0,3.50688
-150,0,3.50688
-148,0,3.50688
-146,0,3.50688
-144,0,3.50688
-142,0,3.50688
-140,0,3.50688
-138,0,3.50688
-136,0,3.50688
-134,0,3.50688
-132,0,3.50688
-130,0,3.50688
-128,0,3.50688
-126,0,3.50688
-124,0,3.50688
-122,0,3.50688
-120,0,3.50688
-118,0,3.50688
-116,0,3.50688
-114,0,3.50688
-112,0,3.50688
-110,0,3.50688
-108,0,3.50688
-106,0,3.50688
-104,0,3.50688
-102,0,3.50688
-100,0,3.50688
-98,0,3.50688
-96,0,3.50688
-94,0,3.50688
-92,0,3.50688
-90,0,3.50688
-88,0,3.50688
-86,0,3.50688
-84,0,3.50688
-82,0,3.50688
-80,0,3.50688
-78,0,3.50688
-76,0,3.50688
-74,0,3.50688
-72,0,3.50688
-70,0,3.50688
-68,0,3.50688
-66,0,3.50688
-64,0,3.50688
-62,0,3.50688
-60,0,3.50688
-58,0,3.50688
-56,0,3.50688
-54,0,3.50688
-52,0,3.50688
-50,0,3.50688
-48,0,3.50688
-46,0,3.50688
-44,0,3.50688
-42,0,3.50688
-40,0,3.50688
-38,0,3.50688
-36,0,3.50688
-34,0,3.50688
-32,0,3.50688
-30,0,3.50688
-28,0,3.50688
-26,0,3.50688
-24,0,3.50688
-22,0,3.50688
-20,0,3.50688
-18,0,3.50688
-16,0,3.50688
-14,0,3.50688
-12,0,3.50688
-10,0,3.50688
-8,0,3.50688
-6,0,3.50688
-4,0,3.50688
-2,0,3.50688
0,0,3.50688
2,0,3.50688
4,0,3.50688
6,0,3.50688
8,0,3.50688
10,0,3.50688
12,0,3.50688
14,0,3.50688
16,0,3.50688
18,0,3.50688
20,0,3.50688
22,0,3.50688
24,0,3.50688
26,0,3.50688
28,0,3.50688
30,0,3.50688
32,0,3.50688
34,0,3.50688
36,0,3.50688
38,0,3.50688
40,0,3.50688
42,0,3.50688
44,0,3.50688
46,0,3.50688
48,0,3.50688
50,0,3.50688
52,0,3.50688
54,0,3.50688
56,0,3.50688
58,0,3.50688
60,0,3.50688
62,0,3.50688
64,0,3.50688
66,0,3.50688
68,0,3.50688
70,0,3.50688
72,0,3.50688
74,0,3.50688
76,0,3.50688
78,0,3.50688
80,0,3.50688
82,0,3.50688
84,0,3.50688
86,0,3.50688
88,0,3.50688
90,0,3.50688
92,0,3.50688
94,0,3.50688
96,0,3.50688
98,0,3.50688
100,0,3.50688
102,0,3.50688
104,0,3.50688
106,0,3.50688
108,0,3.50688
110,0,3.50688
112,0,3.50688
114,0,3.50688
116,0,3.50688
118,0,3.50688
120,0,3.50688
122,0,3.50688
124,0,3.50688
126,0,3.50688
128,0,3.50688
130,0,3.50688
132,0,3.50688
134,0,3.50688
136,0,3.50688
138,0,3.50688
140,0,3.50688
142,0,3.50688
144,0,3.50688
146,0,3.50688
148,0,3.50688
150,0,3.50688
152,0,3.50688
154,0,3.50688
156,0,3.50688
158,0,3.50688
160,0,3.50688
162,0,3.50688
164,0,3.50688
166,0,3.50688
168,0,3.50688
170,0,3.50688
172,0,3.50688
174,0,3.50688
176,0,3.50688
178,0,3.50688
180,0,3.50688
-180,2,3.51834
-178,2,3.51872
-176,2,3.51908
-174,2,3.51943
-172,2,3.51976
-170,2,3.52008
-168,2,3.52039
-166,2,3.52068
-164,2,3.52095
-162,2,3.52121
-160,2,3.52145
-158,2,3.52168
-156,2,3.52188
-154,2,3.52207
-152,2,3.52224
-150,2,3.52238
-148,2,3.52251
-146,2,3.52261
-144,2,3.52269
-142,2,3.52275
-140,2,3.52279
-138,2,3.52279
-136,2,3.52278
-134,2,3.52273
-132,2,3.52266
-130,2,3.52256
-128,2,3.52243
-126,2,3.52227
-124,2,3.52208
-122,2,3.52186
-120,2,3.52161
-118,2,3.52132
-116,2,3.52101
-114,2,3.52066
-112,2,3.52028
-110,2,3.51986
-108,2,3.51941
-106,2,3.51893
-104,2,3.51841
-102,2,3.51786
-100,2,3.51728
-98,2,3.51666
-96,2,3.51601
-94,2,3.51533
-92,2,3.51461
-90,2,3.51387
-88,2,3.51309
-86,2,3.51228
-84,2,3.51145
-82,2,3.51058
-80,2,3.50969
-78,2,3.50878
-76,2,3.50784
-74,2,3.50687
-72,2,3.50589
-70,2,3.50488
-68,2,3.50385
-66,2,3.50281
-64,2,3.50176
-62,2,3.50069
-60,2,3.4996
-58,2,3.49851
-56,2,3.49741
-54,2,3.49631
-52,2,3.4952
-50,2,3.49409
-48,2,3.49298
-46,2,3.49187
-44,2,3.49077
-42,2,3.48967
-40,2,3.48859
-38,2,3.48751
-36,2,3.48645
-34,2,3.48541
-32,2,3.48438
-30,2,3.48337
-28,2,3.48238
-26,2,3.48142
-24,2,3.48048
-22,2,3.47957
-20,2,3.47869
-18,2,3.47784
-16,2,3.47703
-14,2,3.47624
-12,2,3.4755
-10,2,3.47479
-8,2,3.47412
-6,2,3.47349
-4,2,3.4729
-2,2,3.47235
0,2,3.47185
