Phi[deg],Theta[deg],GainLHCP
-180,0,0.316797
-178,0,0.316797
-176,0,0.316797
-174,0,0.316797
-172,0,0.316797
-170,0,0.316797
-168,0,0.316797
-166,0,0.316797
-164,0,0.316797
-162,0,0.316797
-160,0,0.316797
-158,0,0.316797
-156,0,0.316797
-154,0,0.316797
-152,0,0.316797
-150,0,0.316797
-148,0,0.316797
-146,0,0.316797
-144,0,0.316797
-142,0,0.316797
-140,0,0.316797
-138,0,0.316797
-136,0,0.316797
-134,0,0.316797
-132,0,0.316797
-130,0,0.316797
-128,0,0.316797
-126,0,0.316797
-124,0,0.316797
-122,0,0.316797
-120,0,0.316797
-118,0,0.316797
-116,0,0.316797
-114,0,0.316797
-112,0,0.316797
-110,0,0.316797
-108,0,0.316797
-106,0,0.316797
-104,0,0.316797
-102,0,0.316797
-100,0,0.316797
-98,0,0.316797
-96,0,0.316797
-94,0,0.316797
-92,0,0.316797
-90,0,0.316797
-88,0,0.316797
-86,0,0.316797
-84,0,0.316797
-82,0,0.316797
-80,0,0.316797
-78,0,0.316797
-76,0,0.316797
-74,0,0.316797
-72,0,0.316797
-70,0,0.316797
-68,0,0.316797
-66,0,0.316797
-64,0,0.316797
-62,0,0.316797
-60,0,0.316797
-58,0,0.316797
-56,0,0.316797
-54,0,0.316797
-52,0,0.316797
-50,0,0.316797
-48,0,0.316797
-46,0,0.316797
-44,0,0.316797
-42,0,0.316797
-40,0,0.316797
-38,0,0.316797
-36,0,0.316797
-34,0,0.316797
-32,0,0.316797
-30,0,0.316797
-28,0,0.316797
-26,0,0.316797
-24,0,0.316797
-22,0,0.316797
-20,0,0.316797
-18,0,0.316797
-16,0,0.316797
-14,0,0.316797
-12,0,0.316797
-10,0,0.316797
-8,0,0.316797
-6,0,0.316797
-4,0,0.316797
-2,0,0.316797
0,0,0.316797
2,0,0.316797
4,0,0.316797
6,0,0.316797
8,0,0.316797
10,0,0.316797
12,0,0.316797
14,0,0.316797
16,0,0.316797
18,0,0.316797
20,0,0.316797
22,0,0.316797
24,0,0.316797
26,0,0.316797
28,0,0.316797
30,0,0.316797
32,0,0.316797
34,0,0.316797
36,0,0.316797
38,0,0.316797
40,0,0.316797
42,0,0.316797
44,0,0.316797
46,0,0.316797
48,0,0.316797
50,0,0.316797
52,0,0.316797
54,0,0.316797
56,0,0.316797
58,0,0.316797
60,0,0.316797
62,0,0.316797
64,0,0.316797
66,0,0.316797
68,0,0.316797
70,0,0.316797
72,0,0.316797
74,0,0.316797
76,0,0.316797
78,0,0.316797
80,0,0.316797
82,0,0.316797
84,0,0.316797
86,0,0.316797
88,0,0.316797
90,0,0.316797
92,0,0.316797
94,0,0.316797
96,0,0.316797
98,0,0.316797
100,0,0.316797
102,0,0.316797
104,0,0.316797
106,0,0.316797
108,0,0.316797
110,0,0.316797
112,0,0.316797
114,0,0.316797
116,0,0.316797
118,0,0.316797
120,0,0.316797
122,0,0.316797
124,0,0.316797
126,0,0.316797
128,0,0.316797
130,0,0.316797
132,0,0.316797
134,0,0.316797
136,0,0.316797
138,0,0.316797
140,0,0.316797
142,0,0.316797
144,0,0.316797
146,0,0.316797
148,0,0.316797
150,0,0.316797
152,0,0.316797
154,0,0.316797
156,0,0.316797
158,0,0.316797
160,0,0.316797
162,0,0.316797
164,0,0.316797
166,0,0.316797
168,0,0.316797
170,0,0.316797
172,0,0.316797
174,0,0.316797
176,0,0.316797
178,0,0.316797
180,0,0.316797
-180,2,0.312255
-178,2,0.312209
-176,2,0.312173
-174,2,0.312148
-172,2,0.312134
-170,2,0.312129
-168,2,0.312135
-166,2,0.312152
-164,2,0.312178
-162,2,0.312215
-160,2,0.312261
-158,2,0.312317
-156,2,0.312382
-154,2,0.312457
-152,2,0.31254
-150,2,0.312632
-148,2,0.312733
-146,2,0.312841
-144,2,0.312957
-142,2,0.313081
-140,2,0.313211
-138,2,0.313347
-136,2,0.31349
-134,2,0.313638
-132,2,0.313792
-130,2,0.313951
-128,2,0.314113
-126,2,0.31428
-124,2,0.314451
-122,2,0.314624
-120,2,0.3148
-118,2,0.314978
-116,2,0.315159
-114,2,0.31534
-112,2,0.315523
-110,2,0.315706
-108,2,0.315889
-106,2,0.316073
-104,2,0.316255
-102,2,0.316438
-100,2,0.316618
-98,2,0.316798
-96,2,0.316976
-94,2,0.317152
-92,2,0.317325
-90,2,0.317497
-88,2,0.317665
-86,2,0.317831
-84,2,0.317994
-82,2,0.318154
-80,2,0.318311
-78,2,0.318464
-76,2,0.318613
-74,2,0.31876
-72,2,0.318902
-70,2,0.319042
-68,2,0.319177
-66,2,0.319309
-64,2,0.319437
-62,2,0.319562
-60,2,0.319683
-58,2,0.319801
-56,2,0.319915
-54,2,0.320025
-52,2,0.320133
-50,2,0.320237
-48,2,0.320338
-46,2,0.320436
-44,2,0.320531
-42,2,0.320623
-40,2,0.320712
-38,2,0.320798
-36,2,0.320882
-34,2,0.320964
-32,2,0.321042
-30,2,0.321119
-28,2,0.321194
-26,2,0.321266
-24,2,0.321336
-22,2,0.321404
-20,2,0.321471
-18,2,0.321535
-16,2,0.321598
-14,2,0.321659
-12,2,0.321718
-10,2,0.321775
-8,2,0.321831
-6,2,0.321885
-4,2,0.321937
-2,2,0.321987
0,2,0.322036
2,2,0.322083
4,2,0.322128
6,2,0.322171
8,2,0.322212
10,2,0.322251
12,2,0.322287
14,2,0.322322
16,2,0.322353
18,2,0.322383
20,2,0.322409
22,2,0.322433
24,2,0.322453
26,2,0.32247
28,2,0.322484
30,2,0.322494
32,2,0.322501
34,2,0.322503
36,2,0.322501
38,2,0.322495
40,2,0.322484
42,2,0.322469
44,2,0.322448
46,2,0.322423
48,2,0.322392
50,2,0.322355
52,2,0.322313
54,2,0.322265
56,2,0.322211
58,2,0.322151
60,2,0.322084
62,2,0.322011
64,2,0.321932
66,2,0.321846
68,2,0.321753
70,2,0.321654
72,2,0.321548
74,2,0.321435
76,2,0.321315
78,2,0.321188
80,2,0.321055
82,2,0.320915
84,2,0.320769
86,2,0.320616
88,2,0.320457
90,2,0.320292
92,2,0.320121
94,2,0.319944
96,2,0.319761
98,2,0.319574
100,2,0.319381
102,2,0.319184
104,2,0.318982
106,2,0.318776
108,2,0.318567
110,2,0.318354
112,2,0.318139
114,2,0.31792
116,2,0.3177
118,2,0.317478
120,2,0.317255
122,2,0.317031
124,2,0.316807
126,2,0.316582
128,2,0.316359
130,2,0.316136
132,2,0.315916
134,2,0.315697
136,2,0.315481
138,2,0.315267
140,2,0.315058
142,2,0.314852
144,2,0.314651
146,2,0.314455
148,2,0.314264
150,2,0.314079
152,2,0.3139
154,2,0.313728
156,2,0.313563
158,2,0.313406
160,2,0.313256
162,2,0.313114
164,2,0.312981
166,2,0.312857
168,2,0.312742
170,2,0.312636
172,2,0.31254
174,2,0.312454
176,2,0.312377
178,2,0.312311
180,2,0.312255
-180,4,0.308437
-178,4,0.308347
-176,4,0.308286
-174,4,0.308256
-172,4,0.308256
-170,4,0.308286
-168,4,0.308346
-166,4,0.308435
-164,4,0.308554
-162,4,0.3087
-160,4,0.308875
-158,4,0.309077
-156,4,0.309305
-154,4,0.309559
-152,4,0.309836
-150,4,0.310137
-148,4,0.310459
-146,4,0.310802
-144,4,0.311164
-142,4,0.311544
-140,4,0.31194
-138,4,0.31235
-136,4,0.312774
-134,4,0.313209
-132,4,0.313653
-130,4,0.314106
-128,4,0.314566
-126,4,0.31503
-124,4,0.315497
-122,4,0.315966
-120,4,0.316436
-118,4,0.316903
-116,4,0.317368
-114,4,0.317829
-112,4,0.318284
-110,4,0.318732
-108,4,0.319173
-106,4,0.319604
-104,4,0.320025
-102,4,0.320435
-100,4,0.320833
-98,4,0.321219
-96,4,0.321592
-94,4,0.32195
-92,4,0.322295
-90,4,0.322626
-88,4,0.322941
-86,4,0.323242
-84,4,0.323528
-82,4,0.323799
-80,4,0.324055
-78,4,0.324296
-76,4,0.324523
-74,4,0.324736
-72,4,0.324936
-70,4,0.325122
-68,4,0.325295
-66,4,0.325455
-64,4,0.325604
-62,4,0.325742
-60,4,0.325869
-58,4,0.325986
-56,4,0.326094
-54,4,0.326193
-52,4,0.326285
-50,4,0.326369
-48,4,0.326446
-46,4,0.326518
-44,4,0.326584
-42,4,0.326646
-40,4,0.326704
-38,4,0.326759
-36,4,0.326811
-34,4,0.326862
-32,4,0.326911
-30,4,0.326959
-28,4,0.327007
-26,4,0.327056
-24,4,0.327105
-22,4,0.327156
-20,4,0.327209
-18,4,0.327264
-16,4,0.327321
-14,4,0.327382
-12,4,0.327446
-10,4,0.327513
-8,4,0.327585
-6,4,0.32766
-4,4,0.32774
-2,4,0.327824
0,4,0.327912
2,4,0.328004
4,4,0.328101
6,4,0.328202
8,4,0.328306
10,4,0.328415
12,4,0.328527
14,4,0.328642
16,4,0.328759
18,4,0.328879
20,4,0.329
22,4,0.329123
24,4,0.329246
26,4,0.329368
28,4,0.32949
30,4,0.32961
32,4,0.329727
34,4,0.329841
36,4,0.329951
38,4,0.330055
40,4,0.330153
42,4,0.330243
44,4,0.330326
46,4,0.330399
48,4,0.330461
50,4,0.330513
52,4,0.330552
54,4,0.330578
56,4,0.330589
58,4,0.330586
60,4,0.330567
62,4,0.33053
64,4,0.330477
66,4,0.330405
68,4,0.330313
70,4,0.330203
72,4,0.330072
74,4,0.329921
76,4,0.329749
78,4,0.329556
80,4,0.329341
82,4,0.329105
84,4,0.328848
86,4,0.328569
88,4,0.32827
90,4,0.327949
92,4,0.327608
94,4,0.327246
96,4,0.326866
98,4,0.326466
100,4,0.326048
102,4,0.325613
104,4,0.325161
106,4,0.324693
108,4,0.324211
110,4,0.323716
112,4,0.323208
114,4,0.322689
116,4,0.322159
118,4,0.321622
120,4,0.321077
122,4,0.320526
124,4,0.319971
126,4,0.319412
128,4,0.318852
130,4,0.318292
132,4,0.317733
134,4,0.317178
136,4,0.316626
138,4,0.316081
140,4,0.315543
142,4,0.315014
144,4,0.314495
146,4,0.313989
148,4,0.313495
150,4,0.313017
152,4,0.312554
154,4,0.312109
156,4,0.311683
158,4,0.311278
160,4,0.310893
162,4,0.310531
164,4,0.310192
166,4,0.309878
168,4,0.309589
170,4,0.309327
172,4,0.309092
174,4,0.308885
176,4,0.308707
178,4,0.308557
180,4,0.308437
-180,6,0.305343
-178,6,0.305207
-176,6,0.305132
-174,6,0.305117
-172,6,0.305163
-170,6,0.305269
-168,6,0.305435
-166,6,0.305661
-164,6,0.305946
-162,6,0.306289
-160,6,0.306688
-158,6,0.307142
-156,6,0.307648
-154,6,0.308205
-152,6,0.30881
-150,6,0.30946
-148,6,0.310152
-146,6,0.310884
-144,6,0.311651
-142,6,0.312451
-140,6,0.313279
-138,6,0.314132
-136,6,0.315006
-134,6,0.315897
-132,6,0.316801
-130,6,0.317714
-128,6,0.318631
-126,6,0.319549
-124,6,0.320464
-122,6,0.321372
-120,6,0.32227
-118,6,0.323153
-116,6,0.32402
-114,6,0.324865
-112,6,0.325687
-110,6,0.326483
-108,6,0.32725
-106,6,0.327986
-104,6,0.32869
-102,6,0.329359
-100,6,0.329993
-98,6,0.330589
-96,6,0.331149
-94,6,0.33167
-92,6,0.332153
-90,6,0.332597
-88,6,0.333004
-86,6,0.333373
-84,6,0.333705
-82,6,0.334001
-80,6,0.334263
-78,6,0.33449
-76,6,0.334686
-74,6,0.33485
-72,6,0.334986
-70,6,0.335093
-68,6,0.335175
-66,6,0.335233
-64,6,0.335269
-62,6,0.335285
-60,6,0.335282
-58,6,0.335263
-56,6,0.335228
-54,6,0.335181
-52,6,0.335123
-50,6,0.335055
-48,6,0.33498
-46,6,0.334898
-44,6,0.334812
-42,6,0.334722
-40,6,0.334631
-38,6,0.33454
-36,6,0.334451
-34,6,0.334363
-32,6,0.33428
-30,6,0.334202
-28,6,0.33413
-26,6,0.334065
-24,6,0.334009
-22,6,0.333963
-20,6,0.333927
-18,6,0.333903
-16,6,0.333891
-14,6,0.333892
-12,6,0.333908
-10,6,0.333939
-8,6,0.333985
-6,6,0.334048
-4,6,0.334127
-2,6,0.334224
0,6,0.334339
