"Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []","dB(RealizedGainTotal) []","dB(DirTotal) []"
0,0,0.3,8.42822986755593,-59.8645283375868,-15.0080903469877
0,0,1.28125,23.0111546759644,-18.1497329496186,-1.5920694380784
0,0,1.771875,26.6649286584414,-4.3480168892801,2.17066925047158
0,0,2.2625,23.1112967492687,3.76260998783935,4.67521781486017
0,0,2.753125,14.5779041263858,5.65893699818702,6.29854865833194
0,0,3.24375,4.81619704670533,6.80916206113542,7.2277506192834
0,0,3.4890625,0.572389043395391,7.13809713414561,7.46107375407895
0,0,3.61171875,1.69374047579816,7.17818280686946,7.50532387880947
0,0,3.734375,3.61464525437478,7.01342098502503,7.41329245233283
0,0,3.9796875,6.8138445990509,6.92440401714161,7.32749409857535
0,0,4.225,11.0471981667744,7.3305943459017,7.64274106088785
0,0,4.715625,26.8126917082334,6.7720477809814,7.2846203527522
0,0,5.20625,6.75305637766247,5.5915745312674,6.31911273299421
0,0,6.1875,9.575959332287,1.72670259924238,2.28527514408155
0,0,7.16875,14.4561157064437,-6.9206833972705,-6.3237319734991
0,0,8.15,9.68289354435639,-7.34128019915353,-6.45347613082641
0,0,9.13125,3.56696711098222,6.95096901522455,7.93629339289235
0,0,9.3765625,4.42652162485098,9.1053290896357,10.1265676939754
0,0,9.621875,5.13422005913549,9.71088550736071,10.959216609352
0,0,9.8671875,5.70758843805178,8.89159264665769,10.3647784656431
0,0,10.1125,6.33885526742802,7.41901890295049,8.95724198357854
0,0,11.09375,5.01275596826795,0.865225389501533,2.75914485636521
0,0,12.075,8.29686425313247,-0.740279377937756,2.76724603655289
0,0,12.565625,32.2176917845651,-2.16772370278149,2.9716914658327
0,0,13.05625,3.26729110418918,-7.44138482786807,-1.43863442094182
0,0,13.546875,9.07890907727286,-1.17694408252412,1.75837251346784
0,0,14.0375,8.02459371180896,2.97939447011693,4.77385056916484
0,0,15.01875,12.8730427220099,2.20028906863843,3.58344096050416
0,0,15.509375,19.4305206113986,-0.20012887242521,1.15090361368848
0,0,16,21.8268488771831,-1.27845063783478,0.182004657426339
