Phi[deg],Theta[deg],dB(RealizedGainTotal)
-180,0,5.59157
-178,0,5.59157
-176,0,5.59157
-174,0,5.59157
-172,0,5.59157
-170,0,5.59157
-168,0,5.59157
-166,0,5.59157
-164,0,5.59157
-162,0,5.59157
-160,0,5.59157
-158,0,5.59157
-156,0,5.59157
-154,0,5.59157
-152,0,5.59157
-150,0,5.59157
-148,0,5.59157
-146,0,5.59157
-144,0,5.59157
-142,0,5.59157
-140,0,5.59157
-138,0,5.59157
-136,0,5.59157
-134,0,5.59157
-132,0,5.59157
-130,0,5.59157
-128,0,5.59157
-126,0,5.59157
-124,0,5.59157
-122,0,5.59157
-120,0,5.59157
-118,0,5.59157
-116,0,5.59157
-114,0,5.59157
-112,0,5.59157
-110,0,5.59157
-108,0,5.59157
-106,0,5.59157
-104,0,5.59157
-102,0,5.59157
-100,0,5.59157
-98,0,5.59157
-96,0,5.59157
-94,0,5.59157
-92,0,5.59157
-90,0,5.59157
-88,0,5.59157
-86,0,5.59157
-84,0,5.59157
-82,0,5.59157
-80,0,5.59157
-78,0,5.59157
-76,0,5.59157
-74,0,5.59157
-72,0,5.59157
-70,0,5.59157
-68,0,5.59157
-66,0,5.59157
-64,0,5.59157
-62,0,5.59157
-60,0,5.59157
-58,0,5.59157
-56,0,5.59157
-54,0,5.59157
-52,0,5.59157
-50,0,5.59157
-48,0,5.59157
-46,0,5.59157
-44,0,5.59157
-42,0,5.59157
-40,0,5.59157
-38,0,5.59157
-36,0,5.59157
-34,0,5.59157
-32,0,5.59157
-30,0,5.59157
-28,0,5.59157
-26,0,5.59157
-24,0,5.59157
-22,0,5.59157
-20,0,5.59157
-18,0,5.59157
-16,0,5.59157
-14,0,5.59157
-12,0,5.59157
-10,0,5.59157
-8,0,5.59157
-6,0,5.59157
-4,0,5.59157
-2,0,5.59157
0,0,5.59157
2,0,5.59157
4,0,5.59157
6,0,5.59157
8,0,5.59157
10,0,5.59157
12,0,5.59157
14,0,5.59157
16,0,5.59157
18,0,5.59157
20,0,5.59157
22,0,5.59157
24,0,5.59157
26,0,5.59157
28,0,5.59157
30,0,5.59157
32,0,5.59157
34,0,5.59157
36,0,5.59157
38,0,5.59157
40,0,5.59157
42,0,5.59157
44,0,5.59157
46,0,5.59157
48,0,5.59157
50,0,5.59157
52,0,5.59157
54,0,5.59157
56,0,5.59157
58,0,5.59157
60,0,5.59157
62,0,5.59157
64,0,5.59157
66,0,5.59157
68,0,5.59157
70,0,5.59157
72,0,5.59157
74,0,5.59157
76,0,5.59157
78,0,5.59157
80,0,5.59157
82,0,5.59157
84,0,5.59157
86,0,5.59157
88,0,5.59157
90,0,5.59157
92,0,5.59157
94,0,5.59157
96,0,5.59157
98,0,5.59157
100,0,5.59157
102,0,5.59157
104,0,5.59157
106,0,5.59157
108,0,5.59157
110,0,5.59157
112,0,5.59157
114,0,5.59157
116,0,5.59157
118,0,5.59157
120,0,5.59157
122,0,5.59157
124,0,5.59157
126,0,5.59157
128,0,5.59157
130,0,5.59157
132,0,5.59157
134,0,5.59157
136,0,5.59157
138,0,5.59157
140,0,5.59157
142,0,5.59157
144,0,5.59157
146,0,5.59157
148,0,5.59157
150,0,5.59157
152,0,5.59157
154,0,5.59157
156,0,5.59157
158,0,5.59157
160,0,5.59157
162,0,5.59157
164,0,5.59157
166,0,5.59157
168,0,5.59157
170,0,5.59157
172,0,5.59157
174,0,5.59157
176,0,5.59157
178,0,5.59157
180,0,5.59157
-180,2,5.603
-178,2,5.6032
-176,2,5.60338
-174,2,5.60354
-172,2,5.60369
-170,2,5.60382
-168,2,5.60393
-166,2,5.60403
-164,2,5.60411
-162,2,5.60417
-160,2,5.60422
-158,2,5.60426
-156,2,5.60427
-154,2,5.60427
-152,2,5.60426
-150,2,5.60423
-148,2,5.60418
-146,2,5.60412
-144,2,5.60404
-142,2,5.60394
-140,2,5.60383
-138,2,5.6037
-136,2,5.60355
-134,2,5.60338
-132,2,5.60319
-130,2,5.60299
-128,2,5.60277
-126,2,5.60252
-124,2,5.60226
-122,2,5.60198
-120,2,5.60167
-118,2,5.60135
-116,2,5.601
-114,2,5.60063
-112,2,5.60024
-110,2,5.59982
-108,2,5.59938
-106,2,5.59892
-104,2,5.59843
-102,2,5.59792
-100,2,5.59739
-98,2,5.59683
-96,2,5.59624
-94,2,5.59564
-92,2,5.595
-90,2,5.59435
-88,2,5.59366
-86,2,5.59296
-84,2,5.59223
-82,2,5.59148
-80,2,5.5907
-78,2,5.5899
-76,2,5.58908
-74,2,5.58824
-72,2,5.58738
-70,2,5.5865
-68,2,5.5856
-66,2,5.58469
-64,2,5.58376
-62,2,5.58281
-60,2,5.58185
-58,2,5.58088
-56,2,5.57989
-54,2,5.5789
-52,2,5.57789
-50,2,5.57688
-48,2,5.57587
-46,2,5.57485
-44,2,5.57384
-42,2,5.57282
-40,2,5.5718
-38,2,5.57079
-36,2,5.56979
-34,2,5.56879
-32,2,5.5678
-30,2,5.56683
-28,2,5.56587
-26,2,5.56492
-24,2,5.564
-22,2,5.56309
-20,2,5.5622
-18,2,5.56134
-16,2,5.56051
-14,2,5.5597
-12,2,5.55892
-10,2,5.55817
-8,2,5.55746
-6,2,5.55678
-4,2,5.55614
-2,2,5.55553
0,2,5.55496
2,2,5.55444
4,2,5.55395
6,2,5.55351
8,2,5.55311
10,2,5.55276
12,2,5.55245
14,2,5.55219
16,2,5.55197
18,2,5.5518
20,2,5.55168
22,2,5.55161
24,2,5.55159
26,2,5.55162
28,2,5.55169
30,2,5.55181
32,2,5.55198
34,2,5.5522
36,2,5.55246
38,2,5.55277
40,2,5.55313
42,2,5.55353
44,2,5.55397
46,2,5.55445
48,2,5.55498
50,2,5.55555
52,2,5.55615
54,2,5.5568
56,2,5.55747
58,2,5.55819
60,2,5.55893
62,2,5.55971
64,2,5.56051
66,2,5.56134
68,2,5.5622
70,2,5.56308
72,2,5.56398
74,2,5.5649
76,2,5.56584
78,2,5.56679
80,2,5.56776
82,2,5.56874
84,2,5.56972
86,2,5.57072
88,2,5.57172
90,2,5.57273
92,2,5.57374
94,2,5.57474
96,2,5.57575
98,2,5.57675
100,2,5.57775
102,2,5.57874
104,2,5.57973
106,2,5.5807
108,2,5.58166
110,2,5.58261
112,2,5.58355
114,2,5.58447
116,2,5.58538
118,2,5.58626
120,2,5.58714
122,2,5.58799
124,2,5.58882
126,2,5.58963
128,2,5.59042
130,2,5.59119
132,2,5.59193
134,2,5.59266
136,2,5.59336
138,2,5.59404
140,2,5.59469
142,2,5.59532
144,2,5.59593
146,2,5.59651
148,2,5.59707
150,2,5.5976
152,2,5.59812
154,2,5.59861
156,2,5.59907
158,2,5.59952
160,2,5.59994
162,2,5.60034
164,2,5.60071
166,2,5.60107
168,2,5.6014
170,2,5.60172
172,2,5.60201
174,2,5.60229
176,2,5.60254
178,2,5.60278
180,2,5.603
-180,4,5.58979
-178,4,5.58985
-176,4,5.5899
-174,4,5.58995
-172,4,5.58998
-170,4,5.59001
-168,4,5.59003
-166,4,5.59005
-164,4,5.59007
-162,4,5.59008
-160,4,5.5901
-158,4,5.59011
-156,4,5.59013
-154,4,5.59014
-152,4,5.59016
-150,4,5.59018
-148,4,5.59019
-146,4,5.59021
-144,4,5.59022
-142,4,5.59022
-140,4,5.59022
-138,4,5.59021
-136,4,5.5902
-134,4,5.59017
-132,4,5.59013
-130,4,5.59007
-128,4,5.58999
-126,4,5.58989
-124,4,5.58976
-122,4,5.58961
-120,4,5.58942
-118,4,5.58921
-116,4,5.58895
-114,4,5.58866
